order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDY05823,06-04-2018,11:02:32,Breakfast,TP,"[('Pancake', 4), ('Eggs', 7)]",251.0,-37.8184408,144.9641801,0,7.618,10.0185002
ORDA10162,2018-04-06,11:02:32,Breakfast,BK,"[('Eggs', 4), ('Pancake', 2)]",136.5,-37.8028201,144.9956864,0,8.31,10.5892202
ORDB07824,2018-08-16,15:26:11,Lunch,TP,"[('Chicken', 4), ('Fries', 7)]",409.0,-37.8113336,145.0086784,0,11.789,14.6063791
ORDI10779,2018-16-11,18:38:52,Dinner,NS,"[('Shrimp', 1), ('Pasta', 2), ('Salmon', 10)]",519.0,-37.8049021,144.9691468,0,6.596,13.080493
ORDY08212,2018-09-09,16:16:54,Dinner,TP,"[('Salmon', 7), ('Fish&Chips', 7)]",705.0,-37.8063016,144.9415632,0,10.301,15.8761508
ORDK00295,2018-11-08,18:18:35,Dinner,BK,"[('Fish&Chips', 10), ('Pasta', 3), ('Shrimp', 3)]",594.5,-37.8161117,144.9641637,0,7.75,14.6132476
ORDY10964,2018-08-17,15:36:20,Lunch,TP,"[('Chicken', 4), ('Steak', 2)]",578.0,-37.8000238,144.987617,0,10.899,13.8076762
ORDA00380,2018-15-05,12:23:39,Lunch,BK,"[('Burger', 7), ('Salad', 4), ('Steak', 8), ('Chicken', 4), ('Fries', 3)]",809.8,-37.8201296,144.9586554,0,8.257,13.8342413
ORDZ07371,2018-11-09,18:18:35,Dinner,NS,"[('Pasta', 2), ('Fish&Chips', 6), ('Salmon', 10), ('Shrimp', 6)]",999.0,-37.81101,144.9478528,1,8.841,14.4470611
ORDZ01687,2018-06-30,13:54:55,Lunch,NS,"[('Burger', 3), ('Salad', 7), ('Pancake', 5), ('Chicken', 6), ('Steak', 5)]",690.4,-37.8190949,144.986234,0,9.052,16.5412855
ORDB02299,2018-06-19,13:34:38,Lunch,TP,"[('Chicken', 8), ('Fries', 1)]",268.0,-37.8243633,144.998153,0,10.176,13.3276949
ORDJ05308,2018-02-21,09:41:24,Breakfast,TP,"[('Coffee', 5), ('Cereal', 10), ('Pancake', 6), ('Eggs', 1)]",415.0,-37.8148863,144.9494674,1,9.402,12.1624479
ORDK07350,2018-06-01,12:54:05,Lunch,tp,"[('Chicken', 10), ('Steak', 1), ('Salad', 4), ('Fries', 8)]",529.8,-37.8210947,144.9268047,0,11.37,16.9883325
ORDX05988,2018-08-05,15:05:54,Lunch,BK,"[('Burger', 2), ('Chicken', 10)]",480.2,-37.8057732,144.9308832,0,10.484,19.3502551
ORDZ03541,2018-11-28,18:59:09,Dinner,NS,"[('Shrimp', 3), ('Fish&Chips', 8)]",442.0,-37.8095675,144.9724362,0,7.294,12.8795254
ORDZ08160,2018-03-13,10:21:58,Breakfast,bk,"[('Cereal', 4), ('Pancake', 9), ('Eggs', 5)]",412.25,-37.8115931,144.9381966,0,9.804,14.3432665
ORDI03601,2018-01-13,08:20:16,Breakfast,NS,"[('Pancake', 2), ('Cereal', 8), ('Eggs', 4)]",304.5,-37.8016728,144.9573532,1,7.461,7.5093553
ORDI03484,2018-06-28,13:54:55,Lunch,NS,"[('Shrimp', 3), ('Chicken', 4), ('Salad', 10), ('Steak', 2), ('Fries', 1)]",495.0,-37.7988763,144.9668668,0,6.674,12.0170777
ORDI04941,2018-22-04,11:43:05,Breakfast,NS,"[('Cereal', 5), ('Pancake', 6), ('Coffee', 8), ('Eggs', 7)]",464.5,-37.8190803,144.9535332,0,9.226,16.3654093
